0.24,0.20,0.23,0.21,0.20,0.22,0.21,0.19,0.23,0.22,0.22,0.21,0.18,0.23,0.20,0.22,0.23,0.19,0.21,0.22,0.21,0.22,0.22,0.21,0.25,0.22,0.20,0.23,0.22,0.20,0.21,0.19,0.22,0.20,0.23,0.18,0.20,0.21,0.22,0.20,0.19,0.24,0.19,0.23,0.20,0.20,0.24,0.19,0.20,0.22,0.22,0.20,0.20,0.20,0.19,0.21,0.19,0.19,0.22,0.24,0.22,0.23,0.21,0.20,0.23,0.22,0.22,0.20,0.18,0.22,0.21,0.21,0.21,0.21,0.19,0.24,0.22,0.20,0.20,0.20,0.21,0.20,0.22,0.24,0.23,0.21,0.19,0.21,0.21,0.23,0.21,0.22,0.23,0.20,0.23,0.20,0.23,0.23,0.24,0.22,0.21,0.23,0.26,0.21,0.21,0.21,0.23,0.21,0.21,0.20,0.20,0.21,0.22,0.21,0.23,0.23,0.22,0.18,0.20,0.20,0.22,0.21,0.20,0.22,0.19,0.23,0.24,0.24,0.21,0.22,0.21,0.22,0.22,0.23,0.21,0.22,0.20,0.22,0.22,0.22,0.23,0.21,0.24,0.22,0.22,0.21,0.20,0.22,0.23,0.19,0.21,0.23,0.25,0.21,0.21,0.22,0.22,0.19,0.22,0.20,0.20,0.17,0.21,0.20,0.24,0.21,0.22,0.23,0.19,0.20,0.23,0.23,0.18,0.22,0.21,0.24,0.20,0.20,0.20,0.22,0.21,0.23,0.17,0.22,0.21,0.23,0.23,0.21,0.22,0.23,0.23,0.23,0.22,0.21,0.21,0.23,0.21,0.23,0.21,0.24,0.24,0.21,0.21,0.24,0.23,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.24,0.23,0.19,0.21,0.21,0.22,0.21,0.20,0.23,0.18,0.24,0.23,0.21,0.23,0.19,0.20,0.24,0.21,0.19,0.23,0.24,0.23,0.21,0.18,0.22,0.22,0.18,0.23,0.21,0.22,0.21,0.21,0.22,0.22,0.19,0.22,0.19,0.18,0.21,0.22,0.22,0.21,0.23,0.22
0.22,0.24,0.21,0.20,0.20,0.20,0.18,0.17,0.23,0.21,0.22,0.22,0.22,0.24,0.21,0.23,0.21,0.21,0.19,0.19,0.20,0.21,0.20,0.22,0.23,0.22,0.24,0.26,0.24,0.19,0.23,0.22,0.21,0.22,0.22,0.19,0.20,0.24,0.20,0.24,0.21,0.20,0.23,0.21,0.21,0.23,0.22,0.21,0.19,0.21,0.20,0.24,0.21,0.21,0.23,0.20,0.22,0.20,0.21,0.21,0.24,0.22,0.22,0.21,0.21,0.22,0.24,0.22,0.22,0.18,0.23,0.21,0.23,0.21,0.23,0.18,0.19,0.22,0.20,0.23,0.19,0.25,0.22,0.22,0.21,0.21,0.19,0.17,0.21,0.22,0.23,0.22,0.23,0.23,0.22,0.23,0.21,0.23,0.21,0.22,0.21,0.22,0.22,0.22,0.20,0.21,0.23,0.24,0.20,0.21,0.18,0.22,0.21,0.21,0.22,0.22,0.22,0.20,0.21,0.22,0.17,0.19,0.17,0.22,0.20,0.23,0.23,0.24,0.20,0.25,0.21,0.21,0.18,0.21,0.25,0.22,0.22,0.20,0.23,0.21,0.21,0.19,0.20,0.21,0.24,0.20,0.22,0.21,0.21,0.23,0.22,0.20,0.22,0.24,0.21,0.19,0.21,0.23,0.23,0.19,0.20,0.23,0.20,0.22,0.21,0.22,0.21,0.23,0.18,0.18,0.22,0.18,0.24,0.24,0.22,0.22,0.20,0.22,0.22,0.21,0.20,0.20,0.22,0.22,0.20,0.23,0.19,0.25,0.19,0.20,0.20,0.19,0.18,0.21,0.21,0.19,0.21,0.23,0.22,0.23,0.20,0.21,0.21,0.24,0.21,0.24,0.23,0.21,0.20,0.22,0.21,0.24,0.24,0.18,0.24,0.22,0.21,0.22,0.21,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.18,0.25,0.21,0.21,0.20,0.21,0.20,0.21,0.21,0.19,0.22,0.20,0.21,0.19,0.17,0.19,0.21,0.21,0.19,0.19,0.22,0.21,0.19,0.19,0.20,0.20,0.22,0.19,0.21,0.22
0.24,0.21,0.25,0.20,0.21,0.20,0.24,0.19,0.22,0.19,0.22,0.25,0.21,0.21,0.22,0.22,0.21,0.21,0.20,0.19,0.20,0.23,0.21,0.20,0.24,0.19,0.21,0.21,0.20,0.22,0.23,0.21,0.25,0.22,0.22,0.21,0.18,0.19,0.23,0.19,0.20,0.23,0.23,0.25,0.21,0.21,0.22,0.20,0.23,0.21,0.22,0.21,0.19,0.22,0.22,0.22,0.22,0.19,0.22,0.21,0.22,0.21,0.22,0.21,0.20,0.22,0.22,0.24,0.21,0.20,0.21,0.22,0.22,0.24,0.21,0.18,0.22,0.23,0.20,0.21,0.20,0.24,0.20,0.21,0.19,0.19,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.23,0.19,0.21,0.21,0.20,0.20,0.24,0.22,0.20,0.21,0.21,0.20,0.20,0.22,0.21,0.24,0.24,0.20,0.22,0.25,0.23,0.23,0.22,0.22,0.20,0.21,0.22,0.20,0.21,0.20,0.21,0.22,0.23,0.22,0.24,0.20,0.18,0.20,0.25,0.21,0.20,0.20,0.23,0.20,0.19,0.20,0.19,0.19,0.22,0.22,0.23,0.21,0.21,0.20,0.24,0.21,0.22,0.22,0.20,0.19,0.21,0.22,0.20,0.25,0.20,0.22,0.18,0.23,0.25,0.19,0.21,0.21,0.22,0.22,0.24,0.20,0.19,0.22,0.20,0.22,0.19,0.19,0.23,0.19,0.24,0.20,0.22,0.21,0.20,0.22,0.23,0.22,0.24,0.20,0.23,0.22,0.21,0.22,0.19,0.21,0.22,0.18,0.20,0.20,0.25,0.22,0.25,0.22,0.21,0.19,0.24,0.23,0.21,0.23,0.20,0.19,0.23,0.22,0.20,0.20,0.21,0.21,0.20,0.26,0.20,0.23,0.18,0.22,0.22,0.22,0.23,0.20,0.21,0.22,0.27,0.21,0.22,0.20,0.23,0.21,0.21,0.24,0.21,0.23,0.19,0.25,0.23,0.23,0.21,0.21,0.20,0.22,0.23,0.23,0.23,0.23,0.19,0.23,0.23,0.24,0.20,0.25
0.18,0.24,0.20,0.20,0.22,0.22,0.24,0.20,0.24,0.25,0.23,0.23,0.22,0.20,0.22,0.23,0.20,0.22,0.21,0.22,0.20,0.24,0.20,0.24,0.23,0.21,0.22,0.22,0.22,0.19,0.23,0.21,0.23,0.22,0.21,0.22,0.19,0.22,0.21,0.23,0.21,0.21,0.22,0.22,0.22,0.19,0.23,0.22,0.21,0.23,0.23,0.19,0.22,0.23,0.20,0.21,0.23,0.21,0.22,0.23,0.20,0.21,0.19,0.20,0.20,0.21,0.22,0.24,0.22,0.22,0.23,0.21,0.17,0.23,0.23,0.22,0.20,0.23,0.21,0.19,0.22,0.21,0.22,0.23,0.22,0.25,0.19,0.20,0.21,0.23,0.21,0.24,0.21,0.21,0.21,0.23,0.21,0.19,0.24,0.24,0.20,0.22,0.20,0.22,0.21,0.19,0.18,0.22,0.21,0.24,0.23,0.21,0.24,0.23,0.22,0.20,0.21,0.20,0.22,0.24,0.23,0.24,0.26,0.19,0.21,0.25,0.23,0.20,0.21,0.23,0.22,0.22,0.22,0.22,0.21,0.23,0.21,0.22,0.21,0.23,0.23,0.18,0.26,0.22,0.24,0.20,0.20,0.20,0.21,0.24,0.22,0.19,0.20,0.23,0.25,0.20,0.21,0.22,0.19,0.21,0.22,0.22,0.22,0.21,0.21,0.20,0.21,0.21,0.20,0.23,0.22,0.23,0.23,0.21,0.23,0.23,0.24,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.17,0.22,0.21,0.18,0.18,0.24,0.20,0.22,0.19,0.24,0.21,0.19,0.22,0.20,0.20,0.21,0.25,0.25,0.19,0.22,0.21,0.21,0.23,0.24,0.18,0.22,0.19,0.23,0.22,0.22,0.23,0.20,0.23,0.24,0.21,0.22,0.19,0.20,0.24,0.21,0.20,0.23,0.21,0.22,0.21,0.23,0.24,0.22,0.20,0.22,0.21,0.23,0.20,0.23,0.26,0.20,0.21,0.22,0.21,0.22,0.21,0.19,0.21,0.21,0.23,0.23,0.22,0.24,0.21,0.20,0.18
0.20,0.21,0.23,0.20,0.23,0.18,0.20,0.23,0.25,0.24,0.21,0.20,0.19,0.22,0.21,0.22,0.20,0.23,0.22,0.21,0.19,0.23,0.22,0.21,0.24,0.19,0.24,0.19,0.25,0.21,0.22,0.23,0.22,0.24,0.21,0.22,0.22,0.25,0.21,0.20,0.23,0.19,0.21,0.19,0.22,0.19,0.22,0.19,0.23,0.21,0.22,0.18,0.20,0.20,0.19,0.23,0.22,0.20,0.22,0.22,0.24,0.24,0.19,0.24,0.18,0.21,0.20,0.23,0.23,0.22,0.20,0.20,0.23,0.23,0.21,0.21,0.22,0.23,0.20,0.24,0.21,0.22,0.23,0.23,0.23,0.23,0.21,0.21,0.18,0.20,0.18,0.21,0.19,0.21,0.22,0.21,0.18,0.22,0.21,0.26,0.19,0.21,0.21,0.20,0.24,0.21,0.21,0.22,0.22,0.21,0.20,0.20,0.20,0.22,0.21,0.23,0.20,0.21,0.19,0.22,0.22,0.20,0.23,0.21,0.19,0.23,0.21,0.20,0.20,0.22,0.21,0.21,0.21,0.22,0.21,0.24,0.24,0.22,0.20,0.18,0.20,0.22,0.21,0.21,0.23,0.23,0.23,0.20,0.22,0.18,0.20,0.24,0.17,0.19,0.22,0.21,0.21,0.23,0.26,0.23,0.22,0.24,0.20,0.22,0.22,0.20,0.21,0.21,0.20,0.23,0.21,0.19,0.23,0.21,0.19,0.23,0.22,0.21,0.22,0.21,0.23,0.23,0.22,0.21,0.23,0.22,0.21,0.22,0.19,0.23,0.24,0.22,0.23,0.20,0.19,0.23,0.21,0.20,0.20,0.22,0.22,0.20,0.21,0.21,0.24,0.21,0.22,0.21,0.21,0.21,0.20,0.19,0.21,0.21,0.21,0.21,0.22,0.20,0.21,0.22,0.21,0.23,0.19,0.19,0.21,0.21,0.19,0.20,0.21,0.20,0.23,0.21,0.21,0.23,0.22,0.20,0.20,0.23,0.21,0.20,0.22,0.22,0.22,0.20,0.23,0.22,0.19,0.22,0.22,0.21,0.24,0.24,0.20,0.22,0.19,0.23
0.22,0.22,0.21,0.19,0.23,0.20,0.21,0.22,0.20,0.21,0.22,0.22,0.25,0.21,0.19,0.20,0.20,0.21,0.20,0.22,0.22,0.21,0.25,0.22,0.21,0.20,0.23,0.20,0.22,0.24,0.20,0.19,0.21,0.20,0.22,0.20,0.23,0.22,0.20,0.21,0.24,0.20,0.24,0.22,0.22,0.23,0.22,0.19,0.21,0.19,0.20,0.20,0.20,0.22,0.23,0.22,0.23,0.22,0.26,0.19,0.18,0.20,0.22,0.23,0.24,0.22,0.19,0.21,0.22,0.21,0.22,0.21,0.22,0.22,0.21,0.20,0.25,0.22,0.20,0.20,0.20,0.22,0.20,0.19,0.19,0.22,0.21,0.22,0.22,0.20,0.19,0.23,0.21,0.20,0.22,0.22,0.21,0.21,0.22,0.22,0.23,0.19,0.25,0.21,0.21,0.21,0.22,0.22,0.19,0.22,0.23,0.22,0.24,0.23,0.19,0.24,0.20,0.20,0.23,0.20,0.21,0.20,0.21,0.22,0.24,0.20,0.20,0.19,0.21,0.22,0.22,0.21,0.20,0.20,0.19,0.23,0.21,0.23,0.21,0.22,0.19,0.22,0.23,0.21,0.23,0.22,0.22,0.22,0.21,0.24,0.23,0.21,0.22,0.24,0.24,0.22,0.21,0.24,0.21,0.22,0.21,0.23,0.23,0.23,0.22,0.22,0.18,0.23,0.22,0.22,0.21,0.22,0.23,0.20,0.20,0.20,0.18,0.21,0.22,0.22,0.22,0.22,0.21,0.25,0.21,0.23,0.19,0.23,0.21,0.22,0.18,0.18,0.21,0.19,0.22,0.22,0.21,0.22,0.19,0.19,0.19,0.22,0.25,0.21,0.20,0.22,0.21,0.21,0.22,0.19,0.24,0.24,0.23,0.22,0.22,0.22,0.23,0.23,0.21,0.22,0.22,0.21,0.19,0.22,0.22,0.23,0.20,0.20,0.22,0.21,0.22,0.23,0.22,0.22,0.23,0.22,0.20,0.21,0.22,0.21,0.23,0.25,0.22,0.22,0.20,0.22,0.21,0.18,0.25,0.22,0.21,0.23,0.22,0.24,0.18,0.21
0.21,0.22,0.20,0.22,0.19,0.21,0.24,0.21,0.23,0.22,0.23,0.20,0.24,0.21,0.24,0.19,0.24,0.19,0.20,0.20,0.22,0.20,0.22,0.20,0.20,0.20,0.19,0.22,0.24,0.23,0.21,0.21,0.21,0.20,0.21,0.22,0.23,0.23,0.22,0.18,0.22,0.22,0.24,0.20,0.20,0.21,0.22,0.21,0.19,0.19,0.21,0.22,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.24,0.19,0.23,0.23,0.24,0.23,0.23,0.24,0.20,0.22,0.21,0.21,0.22,0.21,0.20,0.20,0.21,0.19,0.21,0.20,0.22,0.22,0.19,0.22,0.24,0.24,0.19,0.22,0.21,0.20,0.24,0.21,0.21,0.20,0.23,0.23,0.21,0.21,0.20,0.20,0.20,0.19,0.21,0.20,0.20,0.20,0.23,0.23,0.22,0.21,0.24,0.19,0.21,0.21,0.20,0.20,0.21,0.22,0.21,0.22,0.23,0.21,0.19,0.22,0.22,0.20,0.25,0.21,0.21,0.22,0.21,0.22,0.25,0.21,0.23,0.19,0.20,0.22,0.22,0.19,0.21,0.20,0.18,0.22,0.24,0.21,0.24,0.21,0.20,0.21,0.20,0.21,0.20,0.21,0.21,0.20,0.22,0.21,0.21,0.20,0.21,0.20,0.20,0.20,0.19,0.19,0.19,0.23,0.23,0.19,0.21,0.20,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.26,0.22,0.22,0.22,0.21,0.19,0.20,0.21,0.21,0.19,0.19,0.21,0.22,0.21,0.21,0.22,0.20,0.22,0.21,0.20,0.21,0.21,0.22,0.22,0.24,0.25,0.23,0.21,0.20,0.21,0.20,0.23,0.23,0.20,0.20,0.22,0.20,0.21,0.22,0.22,0.22,0.22,0.24,0.21,0.21,0.22,0.21,0.23,0.19,0.19,0.23,0.19,0.19,0.21,0.21,0.20,0.21,0.19,0.22,0.23,0.21,0.24,0.15,0.22,0.19,0.23,0.22,0.25,0.22,0.21,0.22,0.20,0.21,0.21,0.20,0.20,0.19
0.19,0.22,0.22,0.21,0.21,0.19,0.24,0.20,0.20,0.22,0.21,0.22,0.23,0.22,0.22,0.20,0.19,0.25,0.22,0.24,0.21,0.21,0.22,0.22,0.20,0.19,0.20,0.21,0.20,0.19,0.20,0.21,0.20,0.19,0.22,0.24,0.19,0.20,0.22,0.20,0.19,0.20,0.22,0.25,0.18,0.21,0.20,0.22,0.19,0.25,0.20,0.21,0.25,0.21,0.19,0.21,0.22,0.22,0.19,0.21,0.19,0.24,0.21,0.21,0.19,0.21,0.21,0.20,0.22,0.19,0.22,0.20,0.19,0.22,0.23,0.23,0.23,0.23,0.22,0.21,0.22,0.22,0.16,0.21,0.21,0.22,0.22,0.19,0.21,0.19,0.23,0.21,0.21,0.17,0.22,0.23,0.23,0.22,0.19,0.22,0.19,0.21,0.22,0.22,0.22,0.23,0.22,0.21,0.23,0.22,0.23,0.22,0.19,0.21,0.20,0.24,0.23,0.24,0.20,0.20,0.20,0.20,0.21,0.19,0.24,0.19,0.20,0.24,0.22,0.24,0.20,0.24,0.24,0.24,0.21,0.19,0.21,0.22,0.21,0.19,0.21,0.21,0.23,0.20,0.24,0.21,0.22,0.27,0.23,0.18,0.19,0.20,0.19,0.19,0.22,0.23,0.27,0.21,0.22,0.22,0.19,0.22,0.22,0.21,0.21,0.22,0.19,0.24,0.21,0.22,0.23,0.21,0.22,0.20,0.24,0.21,0.24,0.18,0.22,0.20,0.22,0.20,0.21,0.21,0.18,0.22,0.19,0.21,0.26,0.21,0.20,0.21,0.22,0.18,0.21,0.19,0.22,0.25,0.22,0.21,0.20,0.24,0.23,0.24,0.16,0.21,0.22,0.23,0.21,0.21,0.22,0.19,0.25,0.21,0.23,0.21,0.23,0.20,0.21,0.23,0.22,0.22,0.21,0.22,0.20,0.20,0.21,0.21,0.20,0.22,0.18,0.21,0.21,0.21,0.20,0.22,0.21,0.22,0.21,0.22,0.21,0.23,0.21,0.23,0.22,0.21,0.21,0.22,0.20,0.20,0.20,0.20,0.22,0.21,0.22,0.20
0.19,0.22,0.22,0.18,0.21,0.20,0.21,0.22,0.20,0.22,0.21,0.23,0.21,0.21,0.24,0.22,0.20,0.19,0.20,0.20,0.18,0.18,0.21,0.23,0.22,0.18,0.21,0.20,0.21,0.23,0.20,0.24,0.19,0.25,0.23,0.22,0.21,0.23,0.25,0.24,0.19,0.21,0.22,0.22,0.19,0.21,0.22,0.22,0.23,0.21,0.22,0.19,0.23,0.22,0.23,0.20,0.21,0.21,0.20,0.21,0.20,0.22,0.22,0.23,0.19,0.23,0.23,0.23,0.23,0.22,0.20,0.20,0.20,0.20,0.22,0.22,0.22,0.23,0.19,0.25,0.21,0.21,0.19,0.20,0.21,0.21,0.21,0.18,0.21,0.22,0.22,0.24,0.21,0.18,0.22,0.20,0.22,0.20,0.20,0.23,0.22,0.24,0.24,0.23,0.23,0.21,0.18,0.20,0.22,0.20,0.22,0.20,0.20,0.22,0.24,0.23,0.22,0.20,0.23,0.23,0.22,0.24,0.24,0.22,0.21,0.21,0.20,0.18,0.21,0.19,0.21,0.23,0.19,0.20,0.21,0.20,0.21,0.19,0.20,0.21,0.23,0.20,0.21,0.20,0.19,0.21,0.20,0.23,0.23,0.20,0.24,0.20,0.18,0.23,0.17,0.21,0.22,0.21,0.23,0.24,0.20,0.22,0.21,0.19,0.20,0.24,0.20,0.20,0.22,0.20,0.22,0.22,0.23,0.20,0.20,0.22,0.20,0.23,0.20,0.20,0.20,0.20,0.21,0.22,0.21,0.23,0.23,0.20,0.21,0.21,0.22,0.21,0.19,0.19,0.22,0.21,0.20,0.21,0.23,0.21,0.20,0.19,0.22,0.21,0.21,0.22,0.19,0.20,0.22,0.19,0.19,0.22,0.18,0.19,0.23,0.21,0.23,0.19,0.22,0.21,0.22,0.23,0.19,0.22,0.25,0.21,0.20,0.20,0.19,0.20,0.19,0.21,0.23,0.19,0.21,0.19,0.19,0.25,0.21,0.23,0.21,0.22,0.21,0.25,0.22,0.21,0.21,0.20,0.19,0.23,0.19,0.20,0.23,0.23,0.22,0.18
0.18,0.24,0.22,0.21,0.23,0.22,0.23,0.20,0.22,0.20,0.22,0.20,0.22,0.24,0.20,0.20,0.20,0.19,0.20,0.21,0.23,0.22,0.19,0.23,0.22,0.22,0.22,0.20,0.21,0.20,0.20,0.19,0.22,0.17,0.23,0.21,0.21,0.19,0.19,0.22,0.18,0.23,0.20,0.21,0.20,0.20,0.19,0.21,0.23,0.24,0.21,0.23,0.21,0.23,0.21,0.22,0.22,0.22,0.19,0.19,0.22,0.24,0.24,0.20,0.22,0.22,0.24,0.20,0.21,0.20,0.20,0.22,0.18,0.24,0.25,0.21,0.21,0.20,0.23,0.24,0.21,0.22,0.21,0.21,0.22,0.18,0.22,0.20,0.19,0.21,0.22,0.21,0.24,0.23,0.21,0.20,0.19,0.21,0.22,0.21,0.22,0.23,0.20,0.21,0.20,0.22,0.19,0.23,0.22,0.22,0.23,0.21,0.19,0.19,0.19,0.24,0.20,0.19,0.23,0.18,0.22,0.24,0.21,0.21,0.23,0.22,0.21,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.22,0.19,0.20,0.20,0.21,0.23,0.18,0.21,0.23,0.22,0.22,0.20,0.17,0.22,0.23,0.20,0.25,0.20,0.23,0.20,0.22,0.23,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.20,0.25,0.19,0.18,0.19,0.21,0.23,0.24,0.21,0.20,0.24,0.24,0.22,0.21,0.23,0.21,0.21,0.21,0.22,0.20,0.24,0.21,0.24,0.18,0.20,0.19,0.19,0.23,0.22,0.24,0.22,0.20,0.18,0.23,0.19,0.23,0.22,0.22,0.20,0.22,0.21,0.21,0.22,0.19,0.22,0.22,0.22,0.20,0.23,0.22,0.21,0.21,0.19,0.22,0.22,0.22,0.22,0.19,0.23,0.20,0.21,0.22,0.22,0.21,0.20,0.23,0.22,0.22,0.21,0.20,0.22,0.21,0.20,0.24,0.21,0.22,0.18,0.19,0.20,0.20,0.22,0.25,0.22,0.22,0.25,0.23,0.23,0.23,0.21,0.23,0.24,0.22
0.18,0.23,0.19,0.22,0.20,0.26,0.21,0.23,0.20,0.24,0.25,0.22,0.22,0.20,0.21,0.22,0.20,0.22,0.22,0.20,0.22,0.20,0.21,0.22,0.20,0.20,0.19,0.21,0.20,0.25,0.19,0.20,0.20,0.21,0.17,0.20,0.20,0.22,0.24,0.20,0.22,0.21,0.22,0.24,0.21,0.20,0.20,0.22,0.21,0.21,0.21,0.21,0.22,0.19,0.25,0.19,0.19,0.21,0.22,0.21,0.20,0.21,0.23,0.20,0.22,0.22,0.21,0.21,0.23,0.21,0.20,0.20,0.20,0.21,0.18,0.22,0.22,0.18,0.23,0.20,0.23,0.23,0.21,0.20,0.19,0.23,0.18,0.24,0.21,0.19,0.22,0.22,0.23,0.19,0.22,0.19,0.24,0.22,0.21,0.21,0.21,0.22,0.21,0.23,0.21,0.25,0.18,0.21,0.19,0.21,0.20,0.20,0.22,0.20,0.21,0.22,0.20,0.22,0.21,0.20,0.23,0.20,0.21,0.20,0.22,0.22,0.22,0.21,0.22,0.21,0.19,0.19,0.21,0.20,0.21,0.23,0.20,0.20,0.17,0.22,0.21,0.22,0.24,0.24,0.22,0.20,0.18,0.23,0.24,0.20,0.20,0.21,0.23,0.23,0.20,0.24,0.20,0.21,0.23,0.19,0.19,0.21,0.21,0.22,0.22,0.21,0.23,0.22,0.19,0.21,0.21,0.21,0.21,0.20,0.20,0.23,0.21,0.21,0.24,0.23,0.18,0.19,0.20,0.21,0.20,0.24,0.23,0.22,0.20,0.19,0.22,0.26,0.20,0.22,0.22,0.23,0.20,0.24,0.22,0.19,0.20,0.21,0.21,0.19,0.23,0.25,0.21,0.22,0.21,0.20,0.21,0.22,0.23,0.21,0.20,0.18,0.20,0.23,0.22,0.20,0.21,0.21,0.19,0.19,0.20,0.21,0.19,0.22,0.17,0.23,0.20,0.19,0.22,0.21,0.19,0.22,0.21,0.22,0.21,0.23,0.22,0.21,0.24,0.21,0.18,0.19,0.21,0.22,0.20,0.22,0.21,0.23,0.21,0.24,0.21,0.20
0.20,0.21,0.21,0.20,0.20,0.22,0.23,0.21,0.21,0.20,0.21,0.19,0.20,0.22,0.21,0.23,0.22,0.22,0.19,0.20,0.20,0.21,0.21,0.23,0.19,0.21,0.21,0.22,0.22,0.20,0.26,0.19,0.23,0.24,0.20,0.21,0.23,0.21,0.19,0.22,0.22,0.24,0.24,0.20,0.20,0.21,0.25,0.20,0.21,0.21,0.24,0.22,0.22,0.19,0.20,0.21,0.21,0.21,0.23,0.21,0.21,0.21,0.21,0.18,0.21,0.23,0.19,0.22,0.22,0.21,0.23,0.19,0.19,0.22,0.22,0.25,0.23,0.21,0.20,0.23,0.19,0.23,0.24,0.21,0.23,0.20,0.22,0.18,0.21,0.19,0.22,0.23,0.22,0.21,0.21,0.21,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.20,0.20,0.19,0.20,0.22,0.20,0.22,0.22,0.23,0.21,0.21,0.22,0.21,0.23,0.23,0.21,0.22,0.22,0.21,0.25,0.20,0.21,0.21,0.21,0.22,0.19,0.22,0.23,0.23,0.23,0.20,0.22,0.22,0.22,0.19,0.19,0.19,0.22,0.25,0.23,0.22,0.20,0.22,0.24,0.22,0.22,0.22,0.23,0.19,0.21,0.18,0.22,0.19,0.24,0.23,0.21,0.21,0.24,0.20,0.22,0.24,0.22,0.22,0.24,0.22,0.20,0.19,0.21,0.20,0.20,0.21,0.22,0.25,0.22,0.21,0.23,0.18,0.22,0.17,0.20,0.21,0.23,0.22,0.25,0.22,0.20,0.22,0.22,0.21,0.23,0.22,0.20,0.23,0.22,0.22,0.22,0.20,0.19,0.23,0.22,0.21,0.23,0.20,0.22,0.22,0.22,0.23,0.22,0.21,0.21,0.17,0.20,0.25,0.20,0.23,0.20,0.22,0.17,0.21,0.21,0.23,0.20,0.22,0.21,0.22,0.23,0.20,0.21,0.24,0.19,0.19,0.22,0.20,0.19,0.24,0.20,0.20,0.19,0.22,0.22,0.20,0.22,0.21,0.20,0.18,0.23,0.21,0.20,0.21,0.21,0.20,0.22,0.22
0.21,0.22,0.23,0.19,0.24,0.21,0.22,0.22,0.22,0.22,0.23,0.20,0.21,0.20,0.22,0.23,0.22,0.22,0.21,0.18,0.22,0.26,0.23,0.21,0.20,0.24,0.24,0.23,0.22,0.22,0.22,0.22,0.20,0.20,0.21,0.19,0.21,0.23,0.21,0.21,0.20,0.24,0.22,0.22,0.21,0.20,0.20,0.21,0.21,0.25,0.19,0.23,0.23,0.20,0.20,0.22,0.22,0.21,0.21,0.23,0.20,0.21,0.22,0.20,0.26,0.25,0.19,0.21,0.19,0.19,0.25,0.20,0.19,0.22,0.21,0.21,0.19,0.24,0.20,0.22,0.20,0.20,0.19,0.17,0.19,0.22,0.21,0.22,0.25,0.23,0.22,0.21,0.24,0.22,0.21,0.22,0.20,0.22,0.22,0.22,0.24,0.22,0.23,0.21,0.20,0.22,0.25,0.21,0.23,0.22,0.21,0.22,0.21,0.18,0.17,0.21,0.20,0.21,0.22,0.21,0.18,0.18,0.22,0.19,0.24,0.21,0.21,0.21,0.21,0.20,0.21,0.23,0.24,0.22,0.21,0.23,0.20,0.23,0.20,0.22,0.20,0.22,0.23,0.20,0.24,0.20,0.20,0.20,0.21,0.19,0.24,0.22,0.22,0.21,0.20,0.22,0.19,0.21,0.23,0.21,0.20,0.22,0.20,0.22,0.21,0.20,0.21,0.22,0.26,0.22,0.20,0.21,0.22,0.22,0.20,0.19,0.21,0.21,0.19,0.21,0.21,0.22,0.20,0.21,0.19,0.22,0.21,0.20,0.21,0.22,0.19,0.20,0.21,0.24,0.20,0.22,0.24,0.16,0.22,0.20,0.23,0.20,0.19,0.19,0.20,0.20,0.19,0.22,0.21,0.24,0.24,0.22,0.23,0.21,0.25,0.23,0.21,0.16,0.20,0.21,0.19,0.24,0.21,0.21,0.20,0.26,0.20,0.25,0.20,0.21,0.23,0.22,0.22,0.21,0.23,0.21,0.21,0.23,0.23,0.21,0.22,0.24,0.23,0.20,0.23,0.22,0.22,0.22,0.20,0.22,0.22,0.20,0.21,0.20,0.20,0.20
